Population Definition Reported,Normalized_Definition
"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16-","CD14+, CD14-, CD16-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b+","CD11b+, CD14+, CD16+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86+","BDCA2+, CD11c-, CD86+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16+","CD14+, CD14-, CD16+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16-","CD14+, CD16-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-","BDCA2+, CD11c-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2+","BDCA2+, CD11c-, CD2+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2-","BDCA2+, CD11c-, CD2-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86-","BDCA2+, CD11c-, CD86-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+","BDCA2-, CD11c+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-","BDCA2-, BDCA3+, CD11c+, CD1c-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2+","BDCA2-, BDCA3+, CD11c+, CD1c-, CD2+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2-","BDCA2-, BDCA3+, CD11c+, CD1c-, CD2-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86+","BDCA2-, BDCA3+, CD11c+, CD1c-, CD86+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86-","BDCA2-, BDCA3+, CD11c+, CD1c-, CD86-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+","BDCA2-, BDCA3-, CD11c+, CD1c+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2+","BDCA2-, BDCA3-, CD11c+, CD1c+, CD2+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2-","BDCA2-, BDCA3-, CD11c+, CD1c+, CD2-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86+","BDCA2-, BDCA3-, CD11c+, CD1c+, CD86+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86-","BDCA2-, BDCA3-, CD11c+, CD1c+, CD86-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2+","BDCA2-, CD11c+, CD2+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2-","BDCA2-, CD11c+, CD2-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86+","BDCA2-, CD11c+, CD86+, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86-","BDCA2-, CD11c+, CD86-, HLA-DR+, Lin1-, WBC, lymphocyte, singlet"
Singlet/WBC/Mono/CD14+/HLADR,"CD14+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16+","CD14+, CD16+, HLA-DR+, WBC, monocyte, singlet"
Singlet/WBC/Neutro/CD16-,"CD16-, WBC, neutro, singlet"
